# GalaxyName, RA[h m s], Dec[deg ' ''], (m-M)o, (m-M)err+, (m-M)err-, Vmag, Vmag_err+, Vmag_err-, D_m31_savino_kpc, D_m31_savino_err+, D_m31_savino_err+
IC3104              12.00   18.00   46.00  -79.00   43.00   34.00   26.78    0.18    0.18   12.80  999.00  999.00   -1.00   -1.00   -1.00
DDO125              12.00   27.00   40.90   43.00   29.00   44.00   27.06    0.05    0.05   12.70    0.30    0.30   -1.00   -1.00   -1.00
UGCA86               3.00   59.00   48.30   67.00    8.00   19.00   27.36    0.17    0.17   14.20  999.00  999.00   -1.00   -1.00   -1.00
DDO99               11.00   50.00   53.00   38.00   52.00   49.00   27.07    0.14    0.14   13.90    0.10    0.10   -1.00   -1.00   -1.00
IC4662              17.00   47.00    8.80  -64.00   38.00   30.00   26.94    0.17    0.17   11.10    0.30    0.30   -1.00   -1.00   -1.00
DDO190              14.00   24.00   43.40   44.00   31.00   33.00   27.23    0.03    0.03   12.80    0.10    0.10   -1.00   -1.00   -1.00
KKH86               13.00   54.00   33.50    4.00   14.00   35.00   27.06    0.16    0.16   17.10    0.30    0.30   -1.00   -1.00   -1.00
NGC4163             12.00   12.00    9.10   36.00   10.00    9.00   27.28    0.03    0.03   13.20    0.30    0.30   -1.00   -1.00   -1.00
DDO113              12.00   14.00   57.90   36.00   13.00    8.00   27.35    0.06    0.06   16.40    0.30    0.30   -1.00   -1.00   -1.00
Pisces              -1.00   -1.00   -1.00   -1.00   -1.00   -1.00   23.91    0.05    0.05   14.11    0.44    0.44   -1.00   -1.00   -1.00
MilkyWay            17.00   45.00   40.04  -29.00    0.00   28.17   14.52    0.00    0.00    3.52   -1.00   -1.00  765.00    0.00    0.00
M31                  0.00   42.00   44.30   41.00   16.00    9.00   24.94    0.00    0.00    3.44   -1.00   -1.00    0.00    0.00    0.00
